Movie Name,Director(s),Principal Cast(s),Cast(s)
This Is Spinal Tap,Rob Reiner,"Chazz Dominguez, Christopher Guest, David Kaff, Harry Shearer, Kimberly Stringer, Michael McKean, R.J. Parnell, Rob Reiner, Shari Hall, Tony Hendra","Bruno Kirby, Chazz Dominguez, Danny Kortchmar, David Kaff, Ed Begley Jr., Harry Shearer, Jean Cromie, Kimberly Stringer, Patrick Maher, R.J. Parnell, Shari Hall, Tony Hendra"
The Look of Silence,Joshua Oppenheimer,,
Tower,Keith Maitland,,"Aldo Ordoñez, Blair Jackson, Chris Doubek, Cole Bee Wilson, Cole Bresnehen, Jeremy Brown, John Fitch, Josephine McAdam, Karen Davidson, Louie Arnette, Monty Muir, Reece Everett Ryan, Séamus Bolivar-Ochoa, Timothy Lucas, Vicky Illk, Violett Beane"
The Rider,Chloé Zhao,"Brady Jandreau, Cat Clifford, Derrick Janis, Greg Barber, James Calhoon, Lane Scott, Lilly Jandreau, Tanner Langdeau, Terri Dawn Pourier, Tim Jandreau","Alan Reddy, Allen Reddy, Brady Jandreau, Cat Clifford, Derrick Janis, James Calhoon, Jordon Slick Phelps, Kevin Hunter, Lane Scott, Leroy Pourier, Lilly Jandreau, Marshal Byrne, Steven DeWolfe, Tanner Langdeau, Terri Dawn Pourier, Tim Jandreau"
Moolaadé,Ousmane Sembene,,"Aminata Dao, Bakaramoto Sanogo, Balla Habib Dembélé, Cheick Oumar Maiga, Dominique Zeïda, Fatoumata Coulibaly, Gustave Sorgho, Joseph Traoré, Mah Compaoré, Maimouna Hélène Diarra, Modibo Sangaré, Ousmane Konaté, Rasmane Ouedraogo, Salimata Traoré, Théophile Sowié"
Atanarjuat: The Fast Runner,Zacharias Kunuk,"Natar Ungalaaq, Sylvia Ivalu","Abraham Ulayuruluk, Alex Uttak, Apayata Kotierk, Eric Nutarariaq, Eugene Ipkarnak, Lucy Tulugarjuk, Luke Taqqaugaq, Madeline Ivalu, Mary Qulitalik, Neeve Irngaut, Pakak Innuksuk, Pauloosie Qulitalik, Peter-Henry Arnatsiaq"
Time,Garrett Bradley,Fox Rich,
Gavagai,Rob Tregenza,"Amel Ibisevic, Andreas Lust, Anni-Kristiina Juuso, Ask Aygin Gaup, Edith Søli, Einar Andreas Søli, Essra Berge, Halvor Sandnes, Hellek Sandnes, Ina Nena Schick, Joakim Nango, Jostein A.B. Sandvik, Karin Mustvedt-Plüs, Kim Robin Svartdal, Marie Helga Helgetveit, Marja Susanne Sipelä Solvang, Mikkel Gaup, Miriam Berge, Mona Eiris, Rune Samuelsen, Susan S. Solvang, Thomas Tufte, Tore Dale","Amel Ibisevic, Ask Aygin Gaup, Edith Søli, Einar Andreas Søli, Essra Berge, Halvor Sandnes, Hellek Sandnes, Ina Nena Schick, Joakim Nango, Jostein A.B. Sandvik, Karin Mustvedt-Plüs, Kim Robin Svartdal, Marie Helga Helgetveit, Marja Susanne Sipelä Solvang, Miriam Berge, Mona Eiris, Rune Samuelsen, Susan S. Solvang, Thomas Tufte, Tore Dale"
The Man Who Would Be King,John Huston,"Albert Moses, Christopher Plummer, Doghmi Larbi, Jack May, Karroom Ben Bouih, Michael Caine, Mohammad Shamsi, Paul Antrim, Saeed Jaffrey, Sean Connery","Graham Acres, Nadia Atbib, Shakira Caine, The Blue Dancers of Goulamine, Yvonne Ocampo"
The Killing,Stanley Kubrick,"Coleen Gray, Elisha Cook Jr., James Edwards, Jay C. Flippen, Joe Sawyer, Marie Windsor, Sterling Hayden, Ted de Corsia, Timothy Carey, Vince Edwards","Dorothy Adams, Herbert Ellis, Jay Adler, Kola Kwariani, Tito Vuolo"
Swing Time,George Stevens,"Betty Furness, Eric Blore, Fred Astaire, Georges Metaxa, Ginger Rogers, Harry Bernard, Harry Bowen, Helen Broderick, Victor Moore, William Bailey","Bill Brande, Jack Chefe, Martin Cichy, Ralph Brooks, Ralph Byrd"
Breaking Away,Peter Yates,"Dennis Christopher, Dennis Quaid","Amy Wright, Barbara Barrie, Daniel Stern, David K. Blase, Hart Bochner, Jackie Earle Haley, Jennifer K. Mickel, John Ashton, Lisa Shure, P.J. Soles, Paul Dooley, Peter Maloney, Robyn Douglass"
The Souvenir,Joanna Hogg,"Alice McMillan, Chyna Terrelonge-Vaughan, Fabrizio Matteini, Frankie Wilson, Hannah Ashby Ward, Honor Swinton-Byrne, Jack McMullen, Jake Phillips Head, James Spencer Ashworth, Janet Etuk, Jaygann Ayeh, Neil Young, Richard Ayoade, Tilda Swinton, Tom Burke, Tosin Cole","Alice McMillan, Barbara Peirson, Chyna Terrelonge-Vaughan, Crispin Buxton, Dick Fontaine, Fabrizio Matteini, Hannah Ashby Ward, Jack W. Gregory, Jake Phillips Head, James Barrett, James Dodds, James Spencer Ashworth, Janet Etuk, Jaz Dalrymple, Leonardo Bozzo, Richard Tree, Steve Gough"
After Life,Hirokazu Koreeda,,"Arata, Erika Oda, Hisako Hara, Kazuko Shirakawa, Kei Tani, Kôtarô Shiga, Kyôko Kagawa, Natsuo Ishidô, Sadao Abe, Sayaka Yoshino, Susumu Terajima, Takashi Naitô, Taketoshi Naitô, Tôru Yuri, Yûsuke Iseya"
Son of Saul,László Nemes,"Géza Röhrig, Levente Molnár, Todd Charmont, Urs Rechn","Amitai Kedar, Attila Fritz, Balázs Farkas, Björn Freiberg, Christian Harting, Eszter Csépai, Gergö Farkas, Géza Röhrig, Jerzy Walczak, Juli Jakab, Kamil Dobrowolski, Levente Molnár, Levente Orbán, Marcin Czarnik, Mendy Cahan, Mihály Kormos, Sándor Zsótér, Todd Charmont, Urs Rechn, Uwe Lauer"
Love Affair,Leo McCarey,"Astrid Allwyn, Charles Boyer, Ferike Boros, Irene Dunne, Lee Bowman, Maria Ouspenskaya, Mary Bovard, Maurice Moscovitch, Scotty Beckett, Tom Dugan","Bess Flowers, Carol Hughes, Dell Henderson, Joe Gilbert, Leyland Hodgson"
Frankenstein,James Whale,"Boris Karloff, Colin Clive, Dwight Frye, Edward Van Sloan, Frederick Kerr, John Boles, Lionel Belmore, Mae Clarke, Marilyn Harris, Ted Billings","Arletta Duncan, Francis Ford, Jack Curtis, Mae Bruce, William Dyer"
8½,Federico Fellini,"Anouk Aimée, Barbara Steele, Caterina Boratto, Claudia Cardinale, Eddra Gale, Guido Alberti, Madeleine Lebeau, Marcello Mastroianni, Rossella Falk, Sandra Milo","Bruno Agostini, Cesarino Miceli Picardi, Jean Rougeul, Mario Conocchia, Mario Pisu"
Little Women,Greta Gerwig,"Abby Quinn, Bob Odenkirk, Chris Cooper, Eliza Scanlen, Emma Watson, Florence Pugh, James Norton, Jayne Houdyshell, Laura Dern, Louis Garrel, Meryl Streep, Saoirse Ronan, Timoth, Tracy Letts","Abby Quinn, Adam Desautels, Brian Daniels, Chris Cooper, Domenic Arduino, Emily Edström, Eowyn Young, Hadley Robinson, Jamie Ghazarian, Jayne Houdyshell, Jen Nikolaisen, Kayla Caulfield, Ken Holmes, Lilly Englert, Louis Garrel, Maryann Plunkett, Mason Alban, Meryl Streep, Paul Tawczynski, Rafael Silva, Sasha Frolova, Stevie Costa, Tracy Letts"
E.T. The Extra-Terrestrial,Steven Spielberg,"Dee Wallace, Drew Barrymore, Erika Eleniak, Henry Thomas, Peter Coyote","C. Thomas Howell, David Berkson, David M. O'Dell, Dee Wallace, Erika Eleniak, Frank Toth, K.C. Martel, Michael Darrell, Richard Swingler, Robert Barton, Robert MacNaughton, Sean Frye"
The African Queen,John Huston,"Errol John, Gerald Onn, Humphrey Bogart, Katharine Hepburn, Peter Bull, Peter Swanwick, Richard Marner, Robert Morley, Theodore Bikel, Walter Gotell",John von Kotze
The Triplets of Belleville,Sylvain Chomet,"Jean-Claude Donda, Michel Robin, Michèle Caucheteux, Monica Viegas","Béatrice Bonifassi, Charles Linton, Lina Boudreau, Mari-Lou Gauthier"
The Queen,Stephen Frears,"Helen Mirren, James Cromwell","Alex Jennings, Amanda Hadingue, Dolina MacLennan, Douglas Reith, Gray O'Brien, John McGlynn, Joyce Henderson, Lola Peploe, Pat Laffan, Robin Soans, Roger Allam, Sylvia Syms, Tim McMullan"
All Quiet on the Western Front,Lewis Milestone,"Arnold Lucy, Ben Alexander, John Wray, Lew Ayres, Louis Wolheim, Owen Davis Jr., Russell Gleason, Scott Kolk, Walter Rogers, William Bakewell","Beryl Mercer, G. Pat Collins, Harold Goodwin, Richard Alexander, Slim Summerville"
A Bread Factory Part Two: Walk With Me a While,Patrick Wang,"Anni Krueger, Brian Murray, Chris Conroy, Elisabeth Henry-Macari, George Young, Glynnis O'Connor, James Chen, James Marsters, Janet Hsieh, Jessica Pimentel, Nana Visitor, Philip Kerr, Trevor St. John, Tyne Daly, Zachary Sayle","Daniel Borak, Eugene Brell, George Young, Jacqui Anders, Jake Brinskele, Keaton Nigel Cooke, Leo Heller, Logan Smith, Martina Arroyo, Noah Matthews"
Never Rarely Sometimes Always,Eliza Hittman,"Amy Tribbey, Aurora Richards, Brett Puglisi, Carolina Espiro, Christian Clements, Daniel Buneta, David Buneta, Deepti Menon, Denise Pillott, Drew Seltzer, Eliazar Jimenez, Guy A. Fortt, Kim Rios Lin, Lester Greene, Rose Elizabeth Richards, Ryan Eggold, Sam Dugger, Sharon Van Etten, Sidney Flanigan, Talia Ryder, Théodore Pellerin","Alana Barrett-Adkins, Alexander Carney, Amy Tribbey, April Szykeruk, Aurora Richards, Brett Puglisi, Brian Altemus, Carolina Espiro, Deepti Menon, Denise Pillott, Drew Seltzer, Guy A. Fortt, Jingjing Tian, John Ballinger Sr., Kim Rios Lin, Lester Greene, Lizbeth MacKay, Luz Ozuna, Mia Dillon, Michael Erik, Rose Elizabeth Richards, Ryan Eggold, Sidney Flanigan"
The Ladykillers,Alexander Mackendrick,"Alec Guinness, Cecil Parker, Danny Green, Frankie Howerd, Herbert Lom, Jack Warner, Katie Johnson, Madge Brindley, Peter Sellers, Philip Stainton","Fred Griffiths, Harold Goodwin, Hélène Burls, Kenneth Connor, Michael Corcoran"
Young Mr. Lincoln,John Ford,"Alice Brady, Arleen Whelan, Donald Meek, Eddie Collins, Eddie Quillan, Henry Fonda, Judith Dickens, Marjorie Weaver, Pauline Moore, Richard Cromwell","Clarence Wilson, Eddy Waller, Spencer Charters, Tiny Jones, Ward Bond"
Stories We Tell,Sarah Polley,"Harry Gulkin, John Buchan, Susy Buchan","Alex Hatz, Andrew Church, Cathy Gulkin, Deirdre Bowen, Geoffrey Bowes, Harry Gulkin, John Buchan, Justin Goodhand, Peter Evans, Pixie Bigelow, Rebecca Jenkins, Robert Macmillan, Susy Buchan, Tom Butler, Victoria Mitchell, Wayne Curnew"
A Bread Factory Part One: For the Sake of Gold,Patrick Wang,"Amy Carlson, Brian Murray, Elaine Bromka, Elisabeth Henry-Macari, George Young, Glynnis O'Connor, James Marsters, Janeane Garofalo, Janet Hsieh, Jessica Pimentel, Nana Visitor, Philip Kerr, Trevor St. John, Tyne Daly, Zachary Sayle","Aidan Pierce Brennan, Alyssa Maria App, Chris Conroy, Eugene Brell, George Young, Martina Arroyo, Noah Averbach-Katz, Noel Ramos, Rosemary Howard"
The Act of Killing,"Anonymous, Christine Cynn, Joshua Oppenheimer",Anwar Congo,"Adi Zulkadry, Anwar Congo, Anwars Congo, Haji Anif, Haji Marzuki, Herman Koto, Ibrahim Sinik, Jusuf Kalla, Safit Pardede, Sakhyan Asmara, Soaduon Siregar, Syamsul Arifin, Yapto Soerjosoemarno"
"This Is Not a Burial, It's a Resurrection",Lemohang Jeremiah Mosese,"Aleandro Florio, Jerry Mofokeng, Makhaola Ndebele, Mary Twala, Sarah Weber, Silas Monyatse, Siphiwe Nzima-Ntskhe, Thabiso Makoto, Thabo Letsie, Tseko Monaheng",
On the Waterfront,Elia Kazan,"Karl Malden, Marlon Brando","Abe Simon, Arthur Keegan, Don Blackman, James Westerfield, John F. Hamilton, John Heldabrand, Lee J. Cobb, Leif Erickson, Pat Henning, Rod Steiger, Rudy Bond, Tami Mauriello, Tony Galento"
Jafar Panahi's Taxi,Jafar Panahi,,Jafar Panahi
Ida,Pawel Pawlikowski,"Agata Kulesza, Agata Trzebuchowska, Dawid Ogrodnik, Jerzy Trela","Adam Szyszkowski, Afrodyta Weselak, Agata Kulesza, Agata Trzebuchowska, Anna Grzeszczak, Artur Janusiak, Dawid Ogrodnik, Dorota Kuduk, Halina Skoczynska, Izabela Dabrowska, Jan Wociech Poradowski, Jerzy Trela, Joanna Kulig, Krzysztof Brzezinski, Lukasz Jerzykowski, Marek Kasprzyk, Mariusz Jakus, Natalia Lagiewczyk, Pawel Burczyk"
Beau Travail,Claire Denis,"Denis Lavant, Grégoire Colin, Michel Subor","Adiatou Massudi, Bernardo Montet, Dan Herzberg, Dimitri Tsiapkinis, Gianfranco Poddighe, Giuseppe Molino, Jean-Yves Vivet, Marc Veh, Mickael Ravovski, Nicolas Duvauchelle, Richard Courcet, Thong Duy Nguyen"
Uncut Gems,"Ben Safdie, Joshua Safdie","Adam Sandler, Deneke Muhugeta, Habtunu Africho, Idina Menzel, Jacob Igielski, Jonathan Aranbayev, Julia Fox, Keith Williams Richards, Kevin Garnett, Lakeith Stanfield, Liang Wei-Hei Duncan, Mesfin Lamengo, Noa Fisher, Paloma Elsesser, Suin Zhi Hua-Hilton, Sunny Wu Jin Zahoo, The Weeknd, Tommy Kominik, Warren Finkelstein","Andrea Linsky, Ca$h Out, Eric Bogosian, Jacob Igielski, Keith Williams Richards, Lakeith Stanfield, Louis Anthony Arias, Maksud Agadjani, Noa Fisher, Paloma Elsesser, Roman Persits, Sean Ringgold, Tommy Kominik, Warren Finkelstein"
Waltz with Bashir,Ari Folman,"Ari Folman, Ron Ben-Yishai, Ronny Dayag","Dror Harazi, Gadi Erel, Mickey Leon, Ori Sivan, Shahar Sorek, Yehezkel Lazarov, Zahava Solomon"
They Shall Not Grow Old,Peter Jackson,,
EX LIBRIS: The New York Public Library,Frederick Wiseman,,
Secrets & Lies,Mike Leigh,"Brenda Blethyn, Timothy Spall","Brian Bovell, Claire Perkins, Claire Rushbrook, Elias Perkins McCook, Elizabeth Berrington, Emma Amos, Lee Ross, Lesley Manville, Marianne Jean-Baptiste, Michele Austin, Phyllis Logan, Ron Cook, Trevor Laird"
Patton,Franklin J. Schaffner,"George C. Scott, Karl Malden","Albert Dumortier, Bill Hickman, Carey Loftin, David Bauer, Frank Latimore, James Edwards, John Barrie, Karl Michael Vogler, Lawrence Dobkin, Michael Strong, Morgan Paull, Pat Zurica, Stephen Young"
The Favourite,Giorgos Lanthimos,"Basil Eidenbenz, Denise Mack, Emma Delves, Emma Stone, Faye Daveney, Isaura Barbé-Brown, Jack Veal, James Smith, Jennifer White, Jenny Rainsford, Joe Alwyn, John Locke, LillyRose Stevens, Mark Gatiss, Nicholas Hoult, Olivia Colman, Paul Swaine, Rachel Weisz, Timothy Innes, Wilson Radjou-Pujalte","Basil Eidenbenz, Carolyn Saint-Pé, Edward Aczel, Hannah Morley, Horatio, Isaura Barbé-Brown, Jack Veal, James Melville, James Smith, Jenny Rainsford, John Locke, Mark Gatiss, Tim Ingall, Timothy Innes, Willem Dalby, Wilson Radjou-Pujalte"
The Sweet Hereafter,Atom Egoyan,"Ian Holm, Sarah Polley","Alberta Watson, Arsinée Khanjian, Bruce Greenwood, Caerthan Banks, David Hemblen, Earl Pastko, Gabrielle Rose, Kirsten Kieferle, Maury Chaykin, Sarah Rosen Fruitman, Simon Baker, Stephanie Morgenstern, Tom McCamus"
The Right Stuff,Philip Kaufman,"Barbara Hershey, Dennis Quaid, Ed Harris, Fred Ward, Kim Stanley, Pamela Reed, Sam Shepard, Scott Glenn, Scott Paulin, Veronica Cartwright","Charles Frank, Donald Moffat, Lance Henriksen, Levon Helm, Mary Jo Deschanel"
Bambi,"Bill Roberts, David Hand, Graham Heid, James Algar, Norman Wright, Paul Satterfield, Samuel Armstrong","Bobette Audrey, Dolyn Bramston Cook, Hardie Albright, Janet Chapman, Jeanne Christy, Marion Darlington, Peter Behn, Stan Alexander, Thelma Boardman, Tim Davis","Ann Gillis, Donnie Dunagan, Eddie Holden, Otis Harlan, Sam Edwards"
Flee,Jonas Poher Rasmussen,,
Bringing Up Baby,Howard Hawks,"Barry Fitzgerald, Cary Grant, Charles Ruggles, Fritz Feld, George Irving, Katharine Hepburn, Leona Roberts, May Robson, Tala Birell, Walter Catlett","Adeline Ashbury, Asta, John Kelly, Ruth Adler, Virginia Walker"
No Country for Old Men,"Ethan Coen, Joel Coen","Javier Bardem, Josh Brolin, Tommy Lee Jones","Ana Reeder, Barry Corbin, Beth Grant, Chip Love, Garret Dillahunt, Kelly Macdonald, Kit Gwin, Rodger Boyce, Stephen Root, Tess Harper, Woody Harrelson, Zach Hopkins"
The Gatekeepers,Dror Moreh,"Ami Ayalon, Avi Dichter, Avraham Shalom, Carmi Gillon, Yaakov Peri, Yuval Diskin","Ami Ayalon, Avi Dichter, Avraham Shalom, Carmi Gillon, Yaakov Peri, Yuval Diskin"
Nostalgia for the Light,Patricio Guzmán,,"Gaspar Galaz, George Preston, Lautaro Núñez, Luís Henríquez, Miguel Lawner, Valentina Rodríguez, Vicky Saaveda, Víctor González, Violeta Berrios"
David Copperfield,George Cukor,"Basil Rathbone, Edna May Oliver, Elizabeth Allan, Freddie Bartholomew, Harry Beresford, Herbert Mundin, Hugh Walpole, Jessie Ralph, John Buckler","Elsa Lanchester, Fay Chaldecott, Jean Cadell, Lionel Barrymore, Una O'Connor, Violet Kemble Cooper"
Saving Private Ryan,Steven Spielberg,"Matt Damon, Tom Hanks","Adam Goldberg, Barry Pepper, Dennis Farina, Dylan Bruno, Edward Burns, Giovanni Ribisi, Jeremy Davies, Joerg Stadler, Max Martini, Paul Giamatti, Ted Danson, Tom Sizemore, Vin Diesel"
After Hours,Martin Scorsese,"Griffin Dunne, Rosanna Arquette","Bronson Pinchot, Catherine O'Hara, Cheech Marin, Dick Miller, John Heard, Larry Block, Linda Fiorentino, Robert Plunket, Rocco Sisto, Teri Garr, Tommy Chong, Verna Bloom, Will Patton"
Her,Spike Jonze,"Amy Adams, Chris Pratt, Joaquin Phoenix, Olivia Wilde, Rooney Mara, Samantha Morton, Scarlett Johansson","Alia Janine, Amy Adams, Artt Butler, Bill Hader, Brian Johnson, Caroline Jaden Stussi, Cassandra Starr, Chris Pratt, Claudia Choi, Eric Pumphrey, Evelyn Edwards, Gabe Gomez, Gracie Prewitt, Jeremy Rabb, Joaquin Phoenix, Katherine Boecher, Kelly Sarah, Kim Farris, Kristen Wiig, Laura Colquhoun, Laura Kai Chen, Laura Meadows, Lisa Renee Pitts, Luka Jones, Lynn A. Freedman, Matt Letscher, May Lindstrom, Melanie Seacat, Nico David, Nicole Grother, Olivia Wilde, Pamela Roylance, Portia Doubleday, Rachel Ann Mullins, Rooney Mara, Sam Jaeger, Samantha Morton, Samantha Sarakanti, Scarlett Johansson, Spike Jonze, Tiffany Pulvino"
The Crying Game,Neil Jordan,"Forest Whitaker, Jaye Davidson, Stephen Rea","Adrian Dunbar, Andrée Bernard, Birdy Sweeney, Breffni McKenna, Jack Carr, Jim Broadbent, Joe Savino, Josephine White, Miranda Richardson, Ralph Brown, Shar Campbell, Tony Slattery"
Great Expectations,David Lean,"Alec Guinness, Bernard Miles, Finlay Currie, Francis L. Sullivan, Ivor Barnard, Jean Simmons, John Mills, Martita Hunt, Tony Wager, Valerie Hobson","Eileen Erskine, Freda Jackson, George Hayes, Hay Petrie, John Forrest"
Burning,Chang-dong Lee,"Ah In Yoo, Bok-gi Min, Hye-ra Ban, Ja-Yeon Ok, Jong-seo Jeon, Joong-ok Lee, Mi-Kyung Cha, Moon Sung-Keun, Seong-kun Mun, Seung-ho Choi, Soo-Jeong Lee, Soo-Kyung Kim, Steven Yeun","Bong-ryeon Lee, Ja-Yeon Ok, Joong-ok Lee, Seok-Chan Jeon, Wonhyeong Jang"
Winter's Bone,Debra Granik,"Garret Dillahunt, Jennifer Lawrence, John Hawkes","Ashlee Thompson, Beth Domann, Casey MacLaren, Cody Brown, Dale Dickey, Isaiah Stone, Kevin Breznahan, Lauren Sweetser, Shelley Waggener, Tate Taylor, Valerie Richards, William White"
Hope,Maria Sødahl,"Alfred Vatne, Andrea Bræin Hovig, Daniel Storm Forthun Sandbye, Dina Enoksen Elvehaug, Einar Økland, Eirik Hallert, Elli Rhiannon Müller Osbourne, Gjertrud L. Jynge, Steinar Klouman Hallert, Stellan Skarsgård","Alexander Mørk Eidem, Ingrid Bugge, Johannes Joner, Kristin Voss Hestvold, Terje Auli"
Gett: The Trial of Viviane Amsalem,"Ronit Elkabetz, Shlomi Elkabetz",,"Abraham Celektar, Albert Iluz, Dalia Beger, David Ohayon, Eli Gornstein, Evelin Hagoel, Gabi Amrani, Keren Mor, Menashe Noy, Rami Danon, Roberto Pollack, Ronit Elkabetz, Sasson Gabai, Shmil Ben Ari, Simon Abkarian"
I Called Him Morgan,Kasper Collin,,"Al Harrison, Albert Tootie Heath, Bennie Maupin, Billy Harper, Charli Persip, Helen Morgan, Judith Johnson, Jymie Merritt, Larry Reni Thomas, Larry Ridley, Lee Morgan, Lena Sherrod, Paul West, Ron St. Clair, Wayne Shorter"
Close Encounters of the Third Kind,Steven Spielberg,"François Truffaut, Richard Dreyfuss, Teri Garr","Adrienne Campbell, Bob Balaban, Cary Guffey, J. Patrick McNamara, Justin Dreyfuss, Lance Henriksen, Melinda Dillon, Merrill Connally, Philip Dodds, Roberts Blossom, Shawn Bishop, Warren J. Kemmerling"
The Godfather: Part II,Francis Ford Coppola,"Al Pacino, Diane Keaton, Robert De Niro, Robert Duvall","Bruno Kirby, Francesca De Sapio, Frank Sivero, G.D. Spradlin, Gastone Moschin, John Cazale, Lee Strasberg, Michael V. Gazzo, Richard Bright, Talia Shire, Tom Rosqui"
The Hustler,Robert Rossen,"Clifford A. Pellow, George C. Scott, Jackie Gleason, Jake LaMotta, Michael Constantine, Murray Hamilton, Myron McCormick, Paul Newman, Piper Laurie, Stefan Gierasch","Alexander Rose, Carl York, Carolyn Coates, Gordon B. Clarke, Vincent Gardenia"
L.A. Confidential,Curtis Hanson,"Guy Pearce, Kevin Spacey, Kim Basinger, Russell Crowe","Danny DeVito, David Strathairn, Elisabeth Granli, Graham Beckel, James Cromwell, Matt McCoy, Paolo Seganti, Paul Guilfoyle, Ron Rifkin, Sandra Taylor, Steve Rankin"
Bloody Sunday,Paul Greengrass,"James Nesbitt, Nicholas Farrell, Tim Pigott-Smith","Allan Gildea, Carmel McCallion, Christopher Villiers, Declan Duddy, Edel Frazer, Gerard Crossan, Gerry Hammond, James Hewitt, Jason Stammers, Joanne Lindsay, Mary Moulds, Mike Edwards"
My Voyage to Italy,Martin Scorsese,Martin Scorsese,
Phantom Thread,Paul Thomas Anderson,"Bern Collaco, Camilla Rutherford, Cedric Tylleman, Daniel Day-Lewis, Dave Simon, Dinah Nicholson, Elli Banks, Harriet Leitch, Ingrid Sophie Schram, Jack Gordon, Jane Perry, Jason Redshaw, Joan Brown, Julie Duck, Kelly Schembri, Lesley Manville, Maryanne Frost, Pip Phillips, Richard Graham, Sarah Lamesch, Sue Clark, Vicky Krieps","Alexandra Moloney, Amber Brabant, Amy Cunningham, Andrew G. Ogleby, Calum Delaney, Camilla Rutherford, Caroline Garnell, Cedric Tylleman, Colin Wigglesworth, Cris Haris, Daniel Day-Lewis, Darren Talbot, Dave Simon, David Charles-Cully, Fraser Delaney, Geneva Corlett, Gino Picciano, Harriet Leitch, Ingrid Sophie Schram, Jane Perry, Jason Redshaw, Joseph Callaghan, Juliet Glaves, Kelly Schembri, Khristopher MacLeod, Lesley Manville, Lujza Richter, Martin Dew, Michael Gabbitas, Neil Broome, Niki Angus-Campbell, Paul Carolan, Pip Phillips, Rebecca McSwan, Richard Graham, Sarah Lamesch, Vicky Krieps"
Goodfellas,Martin Scorsese,"Joe Pesci, Lorraine Bracco, Paul Sorvino, Ray Liotta, Robert De Niro","Catherine Scorsese, Charles Scorsese, Chuck Low, Frank DiLeo, Frank Sivero, Frank Vincent, Gina Mastrogiacomo, Henny Youngman, Mike Starr, Tony Darrow"
Wojnarowicz,Chris McKim,"Barry Blinderman, David Wojnarowicz, Fran Lebowitz, Kiki Smith, Nan Goldin, Peter Hujar, Richard Kern, Stephen Koch",
Hamilton,Thomas Kail,"Anthony Ramos, Chris Jackson, Daveed Diggs, Emmy Raver-Lampman, Jasmine Cephas Jones, Jonathan Groff, Leslie Odom Jr., Lin-Manuel Miranda, Okieriete Onaodowan, Phillipa Soo, Renee Goldsberry","Ariana DeBose, Carleigh Bettiol, Ephraim Sykes, Hope Easterbrook, Jon Rua, Neil Haskell, Phillipa Soo, Sasha Hutchings, Sydney James Harcourt, Thayne Jasperson"
Paths of the Soul,Yang Zhang,,
It's Such a Beautiful Day,Don Hertzfeldt,,Don Hertzfeldt
My Perestroika,Robin Hessman,,
This Is Not a Film,"Jafar Panahi, Mojtaba Mirtahmasb",,Jafar Panahi
The Birds,Alfred Hitchcock,"Charles McGraw, Ethel Griffies, Jessica Tandy, Joe Mantell, Lonny Chapman, Rod Taylor, Ruth McDevitt, Suzanne Pleshette, Tippi Hedren, Veronica Cartwright","Doodles Weaver, John McGovern, Karl Swenson, Malcolm Atterbury, Richard Deacon"
To Have and Have Not,Howard Hawks,"Dan Seymour, Dolores Moran, Hoagy Carmichael, Humphrey Bogart, Lauren Bacall, Marcel Dalio, Sheldon Leonard, Walter Brennan, Walter Sande, Walter Szurovy","Aldo Nadi, Audrey Armstrong, Eugene Borden, Joy Barlow, Juliette Ball"
Finding Nemo,"Andrew Stanton, Lee Unkrich","Albert Brooks, Alexander Gould, Ellen DeGeneres","Allison Janney, Andrew Stanton, Austin Pendleton, Bob Peterson, Brad Garrett, Elizabeth Perkins, Geoffrey Rush, Joe Ranft, Nicholas Bird, Stephen Root, Vicki Lewis, Willem Dafoe"
Topsy-Turvy,Mike Leigh,"Allan Corduner, Jim Broadbent","Adam Searle, Dexter Fletcher, Francis Lee, Geoffrey Hutchings, Kate Doherty, Lesley Manville, Martin Savage, Roger Heathcott, Stefan Bednarczyk, Sukie Smith, Timothy Spall, Wendy Nottingham, William Neenan"
Samurai Rebellion,Masaki Kobayashi,"Etsuko Ichihara, G, Isao Yamagata, Michiko Ôtsuka, Shigeru K, Tatsuo Matsumura, Tatsuya Nakadai, Tatsuyoshi Ehara, Toshirô Mifune, Yôko Tsukasa","Emi Yamada, Hideo Fukuhara, Jun Hamamura, Masao Mishima, Takamaru Sasaki"
King Kong,"Ernest B. Schoedsack, Merian C. Cooper","Bruce Cabot, Fay Wray, Frank Reicher, James Flavin, King Kong, Noble Johnson, Robert Armstrong, Sam Hardy, Steve Clemente, Walter Ackerman","Ed Allen, Etta Mae Allen, Frank Angel, James Adamson, Van Alder"
Gunda,Victor Kossakovsky,,
The Incredibles,Brad Bird,"Craig T. Nelson, Holly Hunter, Jason Lee, Samuel L. Jackson","Dominique Louis, Eli Fucile, Jean Sincere, Lou Romano, Maeve Andrews, Michael Bird, Sarah Vowell, Spencer Fox, Teddy Newton, Wallace Shawn, Wayne Canney"
Before Sunset,Richard Linklater,"Ethan Hawke, Julie Delpy","Albert Delpy, Denis Evrard, Diabolo, Louise Lemoine Torres, Mariane Plasteig, Marie Pillet, Rodolphe Pauly, Vernon Dobtcheff"
Being John Malkovich,Spike Jonze,"Cameron Diaz, Catherine Keener, John Cusack, John Malkovich","Byrne Piven, Eric Weinstein, Judith Wetzell, K.K. Dodds, Kevin Carroll, Madison Lanc, Mary Kay Place, Ned Bellamy, Octavia Spencer, Orson Bean, Reginald C. Hayes"
